incident_id,age_num,sex_code,race_id,offense_type_id,location_id
61817594,45.0,F,1.0,45,3
61817594,45.0,F,1.0,11,3
61817596,23.0,F,2.0,5,13
61817597,20.0,M,1.0,23,8
61817597,20.0,M,1.0,16,8
61817598,22.0,M,2.0,16,13
61817599,-1.0,M,1.0,27,13
61817599,26.0,M,2.0,27,13
61817599,30.0,M,2.0,27,13
61817600,22.0,M,2.0,27,20
61817600,17.0,M,2.0,27,20
61817600,21.0,M,2.0,27,20
61817601,23.0,M,1.0,16,20
61817601,32.0,M,1.0,16,20
61817602,19.0,M,2.0,44,13
61817603,23.0,M,2.0,16,20
61817604,32.0,F,2.0,23,5
61817604,32.0,F,2.0,45,20
61817604,24.0,M,2.0,23,5
61817604,24.0,M,2.0,45,20
61817604,20.0,M,2.0,23,5
61817604,20.0,M,2.0,45,20
61817604,22.0,M,2.0,23,5
61817604,22.0,M,2.0,45,20
61817604,19.0,M,2.0,23,5
61817604,19.0,M,2.0,45,20
61817605,38.0,F,2.0,35,20
61817609,15.0,M,2.0,5,20
61817613,23.0,M,2.0,16,20
61817614,41.0,F,2.0,35,13
61817617,36.0,M,2.0,16,18
61817625,30.0,M,1.0,44,20
61817643,19.0,M,2.0,16,13
61817643,20.0,M,2.0,16,13
61817662,31.0,F,1.0,51,3
61817662,31.0,F,1.0,5,3
61817676,47.0,M,2.0,27,20
61817691,23.0,M,2.0,51,20
61817691,23.0,M,2.0,51,20
61818567,31.0,M,2.0,51,20
61818612,22.0,F,2.0,11,8
61818646,22.0,M,2.0,5,20
61818670,55.0,F,1.0,2,25
61818670,60.0,M,1.0,2,25
61818683,42.0,M,2.0,51,20
61819508,22.0,M,2.0,51,23
61819508,22.0,M,2.0,51,23
61819541,40.0,F,2.0,51,20
61819570,-1.0,U,0.0,27,13
61819570,-1.0,U,0.0,5,20
61819571,20.0,M,1.0,27,20
61819571,20.0,M,1.0,5,20
61819571,38.0,M,1.0,27,20
61819571,38.0,M,1.0,5,20
61819572,23.0,M,2.0,5,20
61819573,24.0,M,2.0,51,13
61819574,21.0,M,2.0,51,20
61819575,-1.0,U,0.0,27,13
61819576,-1.0,M,0.0,5,20
61819578,-1.0,U,0.0,27,13
61819579,26.0,M,1.0,51,20
61819580,16.0,M,2.0,51,13
61819580,16.0,M,2.0,44,13
61819580,18.0,M,2.0,51,13
61819580,18.0,M,2.0,44,13
61819580,38.0,M,2.0,51,13
61819580,38.0,M,2.0,44,13
61819581,30.0,M,2.0,51,14
61819582,41.0,M,2.0,51,20
61819583,17.0,M,2.0,51,18
61819583,17.0,M,2.0,5,18
61819586,24.0,M,1.0,27,13
61819586,24.0,M,1.0,5,13
61819586,19.0,M,1.0,27,13
61819586,19.0,M,1.0,5,13
61819587,51.0,F,1.0,51,20
61819588,-1.0,U,0.0,5,20
61819588,-1.0,U,0.0,39,20
61819589,23.0,M,1.0,27,20
61819592,23.0,F,2.0,27,20
61819593,14.0,M,2.0,45,20
61819595,50.0,M,1.0,45,23
61819596,25.0,M,1.0,45,23
61819597,37.0,M,1.0,40,18
61819598,-1.0,U,0.0,27,13
61819600,-1.0,U,0.0,5,20
61819601,41.0,M,1.0,27,20
61819601,42.0,F,2.0,27,20
61819602,22.0,M,2.0,51,20
61819603,30.0,M,2.0,5,20
61819604,32.0,F,2.0,5,20
61819605,40.0,M,2.0,51,20
61819606,28.0,M,1.0,44,20
61819606,28.0,M,1.0,5,13
61819607,48.0,M,2.0,45,20
61819609,25.0,F,1.0,5,21
61819610,48.0,M,1.0,51,20
61819612,32.0,M,2.0,51,3
61819613,30.0,M,1.0,45,23
61819614,31.0,M,1.0,27,20
61819615,20.0,M,1.0,45,20
61819616,19.0,M,2.0,45,21
61819616,17.0,F,2.0,45,21
61819616,17.0,M,2.0,45,21
61819617,-1.0,U,0.0,49,20
61819618,31.0,M,1.0,35,20
61819620,16.0,M,2.0,45,13
61819621,31.0,M,1.0,5,20
61819622,-1.0,U,0.0,5,14
61819623,25.0,F,2.0,44,20
61819623,21.0,F,2.0,44,20
61819624,29.0,M,2.0,45,20
61819625,20.0,M,1.0,45,23
61819626,30.0,M,2.0,51,20
61819627,-1.0,U,0.0,27,20
61819627,-1.0,U,0.0,5,20
61819628,21.0,M,2.0,51,21
61819628,21.0,M,2.0,5,21
61819629,16.0,F,1.0,23,7
61819630,18.0,F,2.0,5,20
61819630,18.0,F,2.0,5,20
61819630,18.0,F,2.0,5,20
61819630,18.0,F,2.0,5,20
61819630,20.0,M,2.0,5,20
61819631,32.0,M,2.0,51,20
61819632,52.0,M,1.0,5,20
61819633,-1.0,M,1.0,51,3
61819633,-1.0,M,0.0,51,3
61819634,21.0,M,2.0,51,20
61819635,35.0,M,2.0,27,20
61819635,35.0,M,2.0,51,20
61819635,35.0,M,2.0,5,20
61819636,-1.0,U,0.0,39,13
61819637,-1.0,M,2.0,44,20
61819639,20.0,F,2.0,51,14
61819639,20.0,F,2.0,51,14
61819641,18.0,F,1.0,49,20
61819641,18.0,F,1.0,5,20
61819642,27.0,M,2.0,51,20
61819643,18.0,F,2.0,5,20
61819643,18.0,F,2.0,5,20
61819644,44.0,M,2.0,51,20
61819645,37.0,F,2.0,49,20
61819646,29.0,M,2.0,51,20
61819647,27.0,M,2.0,45,14
61819647,31.0,M,2.0,45,14
61819648,21.0,M,2.0,27,3
61819648,21.0,M,2.0,5,3
61819648,-1.0,U,0.0,27,3
61819648,-1.0,U,0.0,5,3
61819649,30.0,F,1.0,45,23
61819650,-1.0,M,1.0,45,23
61819653,25.0,M,1.0,16,13
61819653,25.0,M,1.0,35,13
61819653,25.0,M,1.0,16,13
61819653,25.0,M,1.0,35,13
61819653,26.0,M,1.0,16,13
61819653,26.0,M,1.0,35,13
61819656,-1.0,M,2.0,49,20
61819656,-1.0,M,2.0,5,20
61819658,20.0,F,2.0,44,25
61819658,-1.0,F,2.0,44,25
61819660,22.0,M,1.0,44,20
61819662,19.0,M,2.0,36,20
61819662,19.0,M,2.0,45,20
61820473,21.0,M,2.0,51,20
61820473,21.0,M,2.0,5,20
61820474,28.0,M,1.0,44,20
61820475,32.0,M,1.0,11,2
61820476,-1.0,M,2.0,45,20
61820476,-1.0,M,2.0,45,20
61820476,-1.0,F,2.0,45,20
61820477,37.0,M,2.0,51,20
61820478,16.0,F,1.0,5,20
61820479,40.0,M,2.0,51,20
61820480,39.0,F,2.0,44,20
61820481,20.0,M,2.0,21,23
61820481,20.0,M,2.0,21,23
