offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
69713861,61855307,1,5,33,M,1,,,,
69679481,61829291,1,5,23,F,1,,,,
69679486,61829295,1,5,16,F,1,,,,
69679542,61829343,1,4,,M,1,,,,
69679555,61829355,0,,,,,,,,
69675896,61827297,1,5,38,M,1,,,,
69677480,61827324,1,5,52,F,2,,,,
69677482,61827326,1,5,30,F,2,,,,
69677483,61827327,0,,,,,,,,
69677484,61827328,0,,,,,,,,
69677525,61827362,1,5,19,M,2,,,,
69677530,61827366,1,5,25,F,2,,,,
69677589,61827409,0,,,,,,,,
69677605,61827424,0,,,,,,,,
69677617,61827436,1,5,34,F,2,,,,
69677622,61827441,0,,,,,,,,
69670360,61822508,1,5,23,M,2,,,,
69670361,61822508,2,4,,F,2,,,,
69670362,61822509,1,4,,U,0,,,,
69670363,61822510,1,5,37,M,2,,,,
69670364,61822511,1,5,37,M,2,,,,
69670365,61822512,0,,,,,,,,
69670366,61822513,1,4,,U,0,,,,
69670367,61822514,0,,,,,,,,
69670368,61822515,0,,,,,,,,
69670369,61822516,1,5,19,M,0,,,,
69670370,61822517,1,5,65,F,1,,,,
69670372,61822518,2,4,,M,1,,,,
69670371,61822518,1,5,17,M,2,,,,
69670373,61822518,3,4,,M,2,,,,
69670374,61822519,1,4,,U,0,,,,
69670375,61822520,1,5,18,F,1,,,,
69670376,61822521,1,5,57,M,1,,,,
69670377,61822522,1,5,17,F,1,,,,
69670378,61822523,0,,,,,,,,
69670379,61822524,0,,,,,,,,
69670380,61822525,1,5,24,F,2,,,,
69670381,61822526,1,5,22,M,2,,,,
69671916,61822527,0,,,,,,,,
69671917,61822528,1,5,25,M,1,,,,
69671918,61822529,1,5,35,M,1,,,,
69671919,61822530,1,5,20,M,2,,,,
69671920,61822531,1,5,41,F,0,,,,
69671921,61822532,1,5,30,F,2,,,,
69671922,61822532,2,5,25,F,2,,,,
69671923,61822533,1,5,25,F,1,,,,
69671924,61822534,1,5,16,M,1,,,,
69671925,61822535,1,5,19,M,2,,,,
69671926,61822535,2,5,27,F,2,,,,
69671929,61822536,3,5,29,F,1,,,,
69671928,61822536,2,5,29,F,1,,,,
69671927,61822536,1,5,37,M,1,,,,
69671930,61822537,1,5,18,F,1,,,,
69671931,61822538,1,4,,M,2,,,,
69671932,61822539,1,5,29,M,2,,,,
69671933,61822540,1,5,20,M,0,,,,
69671934,61822541,1,5,73,M,1,,,,
69671935,61822542,1,5,28,M,1,,,,
69671936,61822543,1,5,27,M,1,,,,
69671938,61822544,2,5,15,F,1,,,,
69671937,61822544,1,5,17,M,1,,,,
69671940,61822544,4,5,15,F,1,,,,
69671939,61822544,3,5,15,M,1,,,,
69671941,61822544,5,5,16,F,1,,,,
69671945,61822545,4,5,48,F,1,,,,
69671944,61822545,3,5,61,M,2,,,,
69671943,61822545,2,5,62,M,2,,,,
69671942,61822545,1,5,56,M,2,,,,
69671946,61822546,0,,,,,,,,
69671947,61822547,1,4,,U,0,,,,
69671948,61822548,1,5,34,F,2,,,,
69671950,61822549,2,5,20,M,1,,,,
69671949,61822549,1,5,20,M,1,,,,
69671951,61822550,1,5,18,F,2,,,,
69671952,61822551,1,5,21,F,1,,,,
69671956,61822551,5,5,19,F,2,,,,
69671955,61822551,4,5,20,F,2,,,,
69671954,61822551,3,5,23,F,2,,,,
69671953,61822551,2,5,22,M,2,,,,
69671957,61822552,1,5,49,M,2,,,,
69671958,61822553,0,,,,,,,,
69671959,61822554,1,5,23,M,1,,,,
69671961,61822555,2,5,18,F,1,,,,
69671960,61822555,1,5,22,F,1,,,,
69671965,61822556,4,5,19,M,1,,,,
69671964,61822556,3,5,19,M,1,,,,
69671963,61822556,2,5,19,M,2,,,,
69671962,61822556,1,5,19,M,2,,,,
69671966,61822557,1,5,22,F,1,,,,
69671967,61822558,1,5,14,F,1,,,,
69671969,61822559,2,5,22,M,1,,,,
69671968,61822559,1,5,20,F,1,,,,
69671971,61822560,2,5,14,F,0,,,,
69671970,61822560,1,5,15,M,0,,,,
69671972,61822561,1,4,,M,0,,,,
69671973,61822562,1,5,16,M,1,,,,
69671974,61822563,1,5,23,M,2,,,,
69671977,61822564,3,5,27,M,2,,,,
69671976,61822564,2,5,27,M,2,,,,
69671975,61822564,1,4,,M,0,,,,
69671978,61822565,0,,,,,,,,
69671979,61822566,1,5,25,M,1,,,,
69671980,61822567,1,4,,U,0,,,,
69671981,61822568,1,5,23,M,1,,,,
69671982,61822569,1,5,27,F,1,,,,
69671983,61822570,1,5,30,M,1,,,,
