offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
69981419,65838428,45,C,14,,,
69973639,65827786,14,C,18,,,
69973640,65827786,5,C,18,,,
69930644,65797673,23,C,8,,,
69929444,65797674,44,C,20,,,
69929445,65797675,51,C,20,,,
69930645,65797676,44,C,20,,,
69931580,65797677,23,C,8,,,
69925728,65797678,5,C,20,,,
69929446,65797679,44,C,20,,,
69931581,65797680,45,C,20,,,
69931582,65797680,5,C,20,,,
69931583,65797681,49,C,20,0,N,
69931584,65797681,5,C,20,,,
69930646,65797682,5,C,13,,,
69937085,65797683,49,C,20,0,N,
69920050,65797684,14,C,20,,,
69920051,65797684,21,C,20,,,
69930647,65797685,5,C,20,,,
69929447,65797686,5,C,20,,,
69925729,65797687,51,C,20,,,
69929939,65797688,45,C,20,,,
69937086,65797689,45,C,20,,,
69920052,65797690,45,C,20,,,
69931585,65797691,45,C,20,,,
69937087,65797692,39,C,22,,,
69929940,65797693,41,C,14,,,
69930648,65797694,23,C,7,,,
69937088,65797695,46,C,20,,,
69935341,65797696,51,C,46,,,
69920053,65797697,51,C,22,,,
69931586,65797698,49,C,20,0,N,
69930649,65797699,5,C,13,,,
69930650,65797700,45,C,21,,,
69935342,65797701,46,C,20,,,
69929448,65797702,39,C,18,,,
69935343,65797703,49,C,20,0,F,
69935344,65797703,5,C,20,,,
69929941,65797704,51,C,20,,,
69925730,65797705,27,C,20,,,
69937089,65797706,49,C,20,0,N,
69937090,65797707,49,C,20,0,N,
69929942,65797708,16,C,13,,,
69929943,65797708,35,C,13,,,
69929944,65797709,23,C,23,,,
69931587,65797710,35,C,20,,,
69929945,65797711,49,C,20,0,F,
69929946,65797711,5,C,20,,,
69929449,65797712,49,C,20,0,N,
69920054,65797713,16,C,20,,,
69920945,65797714,44,C,11,,,
69920055,65797714,51,C,11,,,
69929450,65797715,51,C,22,,,
69929451,65797715,44,C,22,,,
69925731,65797716,16,C,22,,,
69929452,65797717,5,C,20,,,
69929453,65797718,45,C,13,,,
69931588,65797720,49,C,20,0,F,
69931589,65797720,5,C,20,,,
69935345,65797721,16,C,20,,,
69935346,65797721,39,C,20,,,
69937091,65797722,51,C,20,,,
69930651,65797723,45,C,23,,,
69929454,65797724,45,C,20,,,
69931590,65797725,51,C,20,,,
69937092,65797726,23,C,8,,,
69930652,65797727,49,C,20,0,F,
69930653,65797727,5,C,20,,,
69920946,65797728,51,C,20,,,
69929455,65797729,51,C,20,,,
69929456,65797730,5,C,22,,,
69925732,65797731,51,C,20,,,
69925733,65797731,5,C,20,,,
69925734,65797732,23,C,23,,,
69925735,65797733,49,C,20,0,F,
69925736,65797733,5,C,20,,,
69937093,65797734,5,C,20,,,
69935347,65797735,30,C,13,,,
69931591,65797736,45,C,14,,,
69925737,65797737,30,C,13,,,
69929459,65797759,39,C,20,,,
69920953,65797760,49,C,20,0,F,
69920954,65797760,5,C,20,,,
69920955,65797761,14,C,13,,,
69930657,65797762,23,C,23,,,
69935351,65797763,5,C,13,,,
69929460,65797764,49,A,20,0,F,
69929461,65797764,5,C,20,,,
69920956,65797765,49,C,20,0,F,
69920957,65797765,5,C,20,,,
69920958,65797766,45,C,23,,,
69925738,65797767,51,C,13,,,
69925739,65797767,5,C,13,,,
69929948,65797768,2,A,20,,,
69929462,65797769,49,C,20,0,N,
69929463,65797769,45,C,20,,,
69929464,65797770,45,C,46,,,
69929465,65797770,46,C,46,,,
69935352,65797771,45,C,20,,,
69920959,65797772,51,C,8,,,
69920960,65797772,45,C,8,,,
69929466,65797773,5,C,20,,,
69937099,65797774,45,C,20,,,
69925740,65797775,41,C,21,,,
69925741,65797775,46,C,13,,,
69929949,65797776,5,C,20,,,
69925742,65797777,51,C,20,,,
69920961,65797778,45,C,23,,,
69929467,65797779,16,C,13,,,
69920962,65797780,14,C,18,,,
69929468,65797781,45,C,20,,,
69935353,65797782,11,C,23,,,
69931597,65797783,16,C,13,,,
69930658,65797784,49,C,20,0,N,
69937100,65797785,27,C,20,,,
69937101,65797785,39,C,20,,,
69931598,65797786,27,C,20,,,
69929469,65797787,49,C,20,0,F,
69929470,65797787,5,C,20,,,
69931599,65797788,14,C,13,,,
69935354,65797789,45,C,25,,,
69935355,65797790,45,C,20,,,
69930659,65797791,14,A,18,,,
69930660,65797791,5,C,18,,,
69931600,65797792,23,C,24,,,
69920963,65797793,51,C,20,,,
69931601,65797794,5,C,12,,,
69937102,65797795,51,C,20,,,
69937103,65797795,16,C,20,,,
69929950,65797796,23,C,23,,,
69935356,65797797,21,C,20,,,
69937104,65797798,16,C,20,,,
69925743,65797799,27,C,20,,,
69925744,65797799,5,C,20,,,
69930661,65797800,51,C,20,,,
69925745,65797801,49,C,20,0,F,
69925746,65797801,5,C,20,,,
69931602,65797802,21,C,20,,,
