,Unnamed: 0,Unnamed: 0.1,incident_id,age_num,sex_code,race_id,offense_type_id,location_id,arrest_date,ethnicity_id,ethnicity_name,location_name,location_region_type,race_desc,offense_name,offense_category_name
0,0,0,33742048,19.0,F,2.0,45,24,2006-04-19 00:00:00,2,Not Hispanic or Latino,Specialty Store,Store,Black or African American,All Other Larceny,Larceny/Theft Offenses
1,1,1,33742096,13.0,M,2.0,39,22,2006-04-20 00:00:00,2,Not Hispanic or Latino,Educational Grounds/College,Educational Grounds,Black or African American,Weapon Law Violations,Weapon Law Violations
2,2,2,33705576,24.0,M,2.0,51,20,2006-01-23 00:00:00,2,Not Hispanic or Latino,Residence/Home,Property,Black or African American,Simple Assault,Assault Offenses
3,3,3,33716163,26.0,F,1.0,23,7,2006-03-25 00:00:00,1,Hispanic or Latino,Convenience Store,Store,White,Shoplifting,Larceny/Theft Offenses
4,4,4,33708356,18.0,M,1.0,16,18,2006-01-25 00:00:00,3,Unknown,Parking Lot/Garage,Property,White,Drug/Narcotic Violations,Drug/Narcotic Offenses
5,5,5,33708356,18.0,M,1.0,16,18,2006-01-25 00:00:00,3,Unknown,Parking Lot/Garage,Property,White,Drug/Narcotic Violations,Drug/Narcotic Offenses
6,6,6,33708356,18.0,M,1.0,35,18,2006-01-25 00:00:00,3,Unknown,Parking Lot/Garage,Property,White,Drug Equipment Violations,Drug/Narcotic Offenses
7,7,7,33708356,18.0,M,1.0,35,18,2006-01-25 00:00:00,3,Unknown,Parking Lot/Garage,Property,White,Drug Equipment Violations,Drug/Narcotic Offenses
8,8,8,33708356,20.0,M,1.0,16,18,2006-01-25 00:00:00,3,Unknown,Parking Lot/Garage,Property,White,Drug/Narcotic Violations,Drug/Narcotic Offenses
9,9,9,33708356,20.0,M,1.0,16,18,2006-01-25 00:00:00,3,Unknown,Parking Lot/Garage,Property,White,Drug/Narcotic Violations,Drug/Narcotic Offenses
10,10,10,33708356,20.0,M,1.0,35,18,2006-01-25 00:00:00,3,Unknown,Parking Lot/Garage,Property,White,Drug Equipment Violations,Drug/Narcotic Offenses
11,11,11,33708356,20.0,M,1.0,35,18,2006-01-25 00:00:00,3,Unknown,Parking Lot/Garage,Property,White,Drug Equipment Violations,Drug/Narcotic Offenses
